titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
Tecnic@ de Microinformatica (H/M) Bilbao (Vizcaya),ANANDA GESTION ETT,Hace 17 horas (Actualizada),- Imprescindible 2 años como mínimo de experiencia.- Disponibilidad de incorporación inmediata.,"Se precisa Técnic@ de microinformática para mantenimiento: Reparaciones hardware de equipos, soporte a usuarios maquetados, cableador de red, manejo de herramienta y labores de mantenimiento informático en general.Instalación de PC's, pantallas,...Jornada completa y partida.Es necesario tener carnet de conducir y vehículo propio.",Bilbao (Vizcaya),,"['Técnico de Soporte', 'Técnico de Microinformática', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato De duración determinada,Retribución sin especificar,55.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnic-de-microinformatica-hm/bilbao/2921125/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 32 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
Senior .NET Developer Otros Paises,THE WISE SEEKER S.L,Hace 41 horas (Actualizada),"-­ Have 6+ years of experiences-Bachelor‘s degree in computer science or equivalent-Proficiency in C# and .NET Core framework-Good communication in English-Be hardworking, passionate and possess a can­do attitude.-Be good at critical, logical thinking and problem­solving skill-Be assertive, honest and trustworthy-Happy to deal with the opposite and different ideas-Be a good team player and patient person-Be a self­learner","At The Wise Seeker, we are looking for a Senior .NET Developer to work with one of our clients located in Vietnam: a company that helps brands and retailers effortlessly retouch product images for e­commerce to boost their online sales and reduce returns.Working Location: HanoiSector: IT  Tasks-We are looking for a great .NET developer who is proficient with C#. -Your primary focus will be on developing back­end components, data layers and API. You will ensure that these -components and the overall application are robust, scalable and easy to maintain. -You will coordinate with the rest of the team working on different layers of the infrastructure -Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.-Architect and build robust, scalable, highly available and reliable systems-Building reusable components and front­end libraries for future use-Proactively research for solutions to problems-Work closely with the client teams and product design team to iterate quickly on new features and experiments-Participate in design discussions, code reviews and group brainstorming sessions-Deliver high quality code following best practices for better performance, user experience, and reusability-Troubleshoot existing code bases, hunt down nasty bugs and refactor code",Otros Paises - Hanoi,,"['Programador .NET', 'Ingeniero de Software C#', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 6 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/senior-net-developer/hanoi/3014229/,infoempleo
Beca soporte informático. Santa Cruz de Tenerife,TECH España,Hace 41 horas (Actualizada),"-  Estar cursando en la actualidad una formación en Ciclo Medio, Superior o Grado Universitario en Informática, electrónica o formaciones afines.- Disponibilidad de realizar un convenio en prácticas con su centro de estudios (Requisito imprescindible).","1.	Reparación de equipos portátiles.2.	Formación como Soporte IT (Se les formaría en entornos de trabajo basados en Tickets-JIRA).3.	Resolución de incidencias (Windows, Android, PowerShell, Mac, Azure...).4.	Resoluciones presenciales y remotas con usuarios.5.	Formación en conocimientos básicos de Datos (SQL).",Santa Cruz de Tenerife,,['Categoría o nivel'],Jornada Completa,No se requiere experiencia,Contrato Prácticas,Entre 5.000 y 6.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/beca-soporte-informatico/santa-cruz-de-tenerife/3014563/,infoempleo
Técnico/a Informático/a Reus (Tarragona),"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),- Formación en CFGS de Informática- Nivel de Inglés alto/nativo- Disponibilidad para viajar fuera de Europa durante períodos largos.Si la oferta te parece interesante ¡No dudes en inscribirte!,"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #Conectamoseltalentoconlasoportunidades¿Tienes experiencia en soporte técnico? ¿Eres una persona con conocimiento sobre la integración de componentes de tecnología? ¿Tienes nivel alto de inglés? Si eres una persona con habilidades comunicativas, resolutiva y en busca de un nuevo reto profesional, esta puede ser tu oportunidad laboral.Estamos seleccionando un/a técnico/a  informático/a con nivel alto o nativo de inglés para dar  soporte a la  red de centros de trabajo de una empresa del sector hotelero en expansión.Las responsabilidades principales del puesto son:- Atender las necesidades informáticas de nuestra red de centros de trabajo de la empresa a nivel mundial.- Administración de redes y seguridad.- Realizar soporte técnico y funcional de primer nivel.- Mantenimientos preventivos.- Formación de usuarios.- Resolución, registro y seguimiento de incidencias informática en los centros de trabajo.- Identificar áreas de mejora en materia tecnológica.- Tener disponibilidad para viajar fuera de Europa durante períodos largos de tiempo.¿Qué te ofrecemos? - Una posición estable con posibilidad de crecer y desarrollarse, liderando proyectos de mejora en materia tecnológica que contribuyan a la empresa y aporten profesionalización.- Horario de lunes a viernes de 9.00 a 14.00 y de 16.00 a 19.00 horas- Salario de 21800?/brutos año -  12.35?/brutos hora¿Qué esperamos de ti? - Que seas una persona con iniciativa, analítica y comprometida con el logro de los objetivos de la empresa.",Reus (Tarragona),,"['Técnico de Microinformática', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,32.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informaticoa/reus/2919173/,infoempleo
Full Stack Developer (junior) Quart de Poblet (Valencia),"IMAN TEMPORING ETT, S.L.",Hace 45 horas (Actualizada),"Se requieren conocimientos en:- PHP- Python- GIT- Docker- Conocimientos Dev Ops- OdooSe requiere sin ser imprescindible:- Experiencia en desarrollo Prestashop- Conocimientos de React, vuejs o tecnología similar - Desarrollo Django - Python Celery- Análisis proyectos informáticos","Iman temporing, empresa especializada en trabajo temporal y selección de temporal busca, para importante empresa del sector eléctrico, enfocada a la distribución de Material Eléctrico Especializado en Automatización y Control, Gestión Energética y Energías renovables, FULL STACK DEVELOPER (JUNIOR). Se busca persona proactiva y con capacidad de análisis para la resolución y búsqueda de soluciones en la gestión de proyectos.",Quart de Poblet (Valencia),Teletrabajo parcial,"['Programador', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Entre 18.000 y 21.000€ Brutos/anuales,91.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/full-stack-developer-junior/quart-de-poblet/2918914/,infoempleo
PHP Developer Bilbao (Vizcaya),EDUCAEDU BUSINESS SL,Hace 17 horas (Actualizada),"Esperamos de ti que tengas· Al menos 3 años de experiencia desarrollando en PHP· Experiencia con frameworks actuales (Symfony, Laravel u otro framework MVC)· Conocimientos de BBDD para la optimización del diseño y queriesValoraremos que tengas experiencia con · Arquitecturas basadas en eventos y colas de mensajes como RabbitMQ, AWS SQS· JS y algún framework como Jquery, Angular o Meteor· Que conozcas otros lenguajes: Python, Java, ...· Que conozcas/hayas trabajado con conceptos como SOLID, TDD, DDD, Continuous deployment, Continuous integration",Te unirás al desarrollo de proyectos internos que serán utilizados por usuarios de todo el mundo.Esperamos de ti la capacidad de asumir responsabilidad rápidamente y que seas capaz de integrarte en el equipo desde el primer día. Participarás en la toma de decisiones del proyecto y tus ideas y experiencia serán clave para ello.Stack tecnológico· Programamos en PHP y utilizamos Symfony como framework de desarrollo· Mantenemos código legacy pero con tu ayuda lo migraremos más rápido a Symfony· Conectamos nuestros servicios con APIs REST y Arquitectura basada en Eventos· Seguimos el paradigma DDD para que nuestros desarrollos estén más claros· La arquitectura hexagonal nos permite tener el código bien organizado· Revisamos nuestro código y seguimos prácticas de clean coding· Creamos y mantenemos pruebas unitarias y de integración automatizadas · Versionamos en Git con GitFlow· Utilizamos Solr y MongoDB para búsquedas rápidas· Desplegamos en producción varias veces al día con Jenkins· Organizamos las tareas con Scrum,Bilbao (Vizcaya),Teletrabajo parcial,"['Programador', 'Programador PHP', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,19.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/php-developer/bilbao/2918180/,infoempleo
Técnico/a electronico/a reparacione San Sebastián de los Reyes (Madrid),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"Se valorará:- Imprescindible coche propio o cercanía al centro de trabajo.- Experiencia en un puesto similar (taller, servicio de asistencia técnica).Si la oferta te parece interesante, inscríbete y nos pondremos en contacto contigo para comenzar en el departamento que mas se adapte a tu perfil.","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde nuestra oficina de Alcobendas, seleccionamos Técnicos/as de reparación para servicio de postventa en empresa ubicada en San Sebastian de los Reyes. Los posibles aparatos electrónicos a manipular serán:- patinetes, motocicletas y bicis electricas.- móviles- batidoras, exprimidores, secadores de pelo, tostadoras...¿Qué ofrecemos?:- Horario: De L - V turnos rotativos cada dos semanas de 06:35 a 14:30 horas y de 15:05 a 23:00 horas- Jornada: 40 horas semanales.- Salario: 10.33? brutos/hora.",San Sebastián de los Reyes (Madrid),,"['Técnico de Hardware y Software', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 15.000 y 20.000€ Brutos/anuales,44.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-electronicoa-reparacione/san-sebastian-de-los-reyes/2918179/,infoempleo
Programador/a Linux Sant Cugat del Vallés (Barcelona),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"?Conocimientos de programación de bajo nivel (C, C++, Python, TCL?) ?Conocimientos medios de Linux ?Valorable conocimientos en 3DS Max, Blender, AutoCAD, Netfabb.?Habilidad para generar documentación y conclusiones de pruebas realizadas ?Dominio de Excel ?Nivel medio de inglés  FPII/CFGS/CFGM Diseñador gráfico/Imprenta/Artes Gráficas/Informática","En IMAN somos conscientes de que el valor diferencial de una compañía son las personas que la conforman. Por ello, nuestro principal reto se encuentra en impulsar el desarrollo y crecimiento de tu carrera profesional, a la vez que ofrecemos soluciones personalizadas e innovadoras a nuestra cartera de clientes. Y es que en IMAN creemos en el talento, la formación y la motivación como eje para potenciar un equipo capaz de adaptarse a las necesidades del mercado con facilidad, flexibilidad y rapidez. ¡Si te gustan los retos, te estamos esperando!   Multinacional ubicada en Sant Cugat del Vallés, precisa Programador/a Linux para empresa dedicada a la construcción, reparación y mantenimiento de prototipos (plotters de grande formato) para realizar las siguientes funciones:  ? Testeo de impresoras ? Reportar en Excel las incidencias  ? Uso de Linux   Se ofrece:  ? Jornada intensiva de mañana y/o tarde (de 6h a 14h o de 14h a 22h)? Contrato por ETT + opción de pasar a empresa.? Salario de 1.450?/ brutos al mes",Sant Cugat del Vallés (Barcelona),,"['Programador Python', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 15.000 y 20.000€ Brutos/anuales,10.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programadora-linux/sant-cugat-del-valles/2916409/,infoempleo
Electromecánico/a zona de Illescas Illescas (Toledo),"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),-FPII de electromecánica industrial o similares. -Valorable haber tenido experiencia en un puesto similar. -Valorable disponer de la TPM. -Disponibilidad horaria. -Carnet de conducir y vehículo propio para poder,¿Cómo será tú día a día?-Control de la maquinaria. -Solución de incidencias. -Programación de los robots.,Illescas (Toledo),,"['Analista-Programador', 'Categoría o nivelTécnico']",Jornada Completa,No se requiere experiencia,Contrato De duración determinada,Entre 15.000 y 20.000€ Brutos/anuales,13.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/electromecanicoa-zona-de-illescas/illescas/2915104/,infoempleo
Programador/a Cad/Cam y Lantek (H/M) Galdakao/Galdácano (Vizcaya),ANANDA GESTION ETT,Hace 41 horas (Actualizada),Se valorará:- Disponibilidad inmediata-Capacidad de trabajo en equipo,Empresa situada en Galdakao precisa programador/a CAD/CAM y Lantek para oficina tecnica.- Dominio CAD/CAM- Dominio Lantek,Galdakao/Galdácano (Vizcaya),,"['Programador Fanuc', 'Programador', 'Programador ABAP', 'Programador AJAX', 'Programador Android', 'Programador ASP', 'Programador C#', 'Programador C++', 'Programador COBOL', 'Programador CSS', 'Programador HTML', 'Programador JAVA', 'Programador JSP', 'Programador Perl', 'Programador PHP', 'Programador Python', 'Programador Ruby', 'Programador SQL', 'Programador Visual Basic', 'Programador AS400', 'Programador Salesforce', 'Programador Access', 'Programador Angular', 'Programador DCO', 'Programador Dymamics 365', 'Programador Full-Stack', 'Programador Magento', 'Programador Mobile', 'Programador MS Dynamics NAV', 'Programador Odoo', 'Programador Prestashop', 'Programador UDA', 'Programador VUE', 'Programador Wordpress', 'Programador Firmware', 'Programador IoT', 'Programador FrontEnd', 'Categoría o nivelEmpleado Técnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Fijo discontinuo,Retribución sin especificar,11.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programadora-cadcam-y-lantek-hm/galdakaogaldacano/2885262/,infoempleo
Informático-Programador Java (H/M) Erandio (Vizcaya),ANANDA GESTION ETT,Hace 17 horas (Actualizada),-Desarrollador J2EE (experiencia de al menos 2 años):-Experiencia en Java EE.-Experiencia con SQLSe valorará:-TypeScript-Npm/yarn y nodejs.-Frameworks de desarrollo Angular o React o Vue.js-Capacidad de trabajo en equipo-Experiencia con entornos de desarrollo distribuido GIT/SVN,"Empresa especializada en el desarrollo de software, desea incorporar un perfil para distintos proyectos.Tareas:- Desarrollo de aplicaciones y proyectos J2EE para clientes- Incluir innovaciones tecnológicas para mejorar las capacidades de los proyectos.",Erandio (Vizcaya),,"['Analista-Programador', 'Programador', 'Programador JAVA', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,39.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/informatico-programador-java-hm/erandio/2715154/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 32 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
Senior .NET Developer Otros Paises,THE WISE SEEKER S.L,Hace 41 horas (Actualizada),"-­ Have 6+ years of experiences-Bachelor‘s degree in computer science or equivalent-Proficiency in C# and .NET Core framework-Good communication in English-Be hardworking, passionate and possess a can­do attitude.-Be good at critical, logical thinking and problem­solving skill-Be assertive, honest and trustworthy-Happy to deal with the opposite and different ideas-Be a good team player and patient person-Be a self­learner","At The Wise Seeker, we are looking for a Senior .NET Developer to work with one of our clients located in Vietnam: a company that helps brands and retailers effortlessly retouch product images for e­commerce to boost their online sales and reduce returns.Working Location: HanoiSector: IT  Tasks-We are looking for a great .NET developer who is proficient with C#. -Your primary focus will be on developing back­end components, data layers and API. You will ensure that these -components and the overall application are robust, scalable and easy to maintain. -You will coordinate with the rest of the team working on different layers of the infrastructure -Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.-Architect and build robust, scalable, highly available and reliable systems-Building reusable components and front­end libraries for future use-Proactively research for solutions to problems-Work closely with the client teams and product design team to iterate quickly on new features and experiments-Participate in design discussions, code reviews and group brainstorming sessions-Deliver high quality code following best practices for better performance, user experience, and reusability-Troubleshoot existing code bases, hunt down nasty bugs and refactor code",Otros Paises - Hanoi,,"['Programador .NET', 'Ingeniero de Software C#', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 6 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/senior-net-developer/hanoi/3014229/,infoempleo
Beca soporte informático. Santa Cruz de Tenerife,TECH España,Hace 41 horas (Actualizada),"-  Estar cursando en la actualidad una formación en Ciclo Medio, Superior o Grado Universitario en Informática, electrónica o formaciones afines.- Disponibilidad de realizar un convenio en prácticas con su centro de estudios (Requisito imprescindible).","1.	Reparación de equipos portátiles.2.	Formación como Soporte IT (Se les formaría en entornos de trabajo basados en Tickets-JIRA).3.	Resolución de incidencias (Windows, Android, PowerShell, Mac, Azure...).4.	Resoluciones presenciales y remotas con usuarios.5.	Formación en conocimientos básicos de Datos (SQL).",Santa Cruz de Tenerife,,['Categoría o nivel'],Jornada Completa,No se requiere experiencia,Contrato Prácticas,Entre 5.000 y 6.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/beca-soporte-informatico/santa-cruz-de-tenerife/3014563/,infoempleo
Programador,Empresa tecnológica,Hace 36 horas (Actualizada),Se requiere una persona con conocimientos en programación e inglés.,"Programación en .net, visual basic y C#","Álava, Burgos, La Rioja",Teletrabajo parcial,"['Programador', 'Programador .NET', 'Categoría o nivelTécnico']",Jornada Completa,No se requiere experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/programador/3016590/,infoempleo
Programador Oracle Islas Baleares,SPRING DESARROLLOS INFORMATICOS SANITARIOS,Hace 1 hora (Actualizada),- Ingeniería técnica o superior en informática. Fp 2 Superior en informática.- Al menos 3 años como desarrollador en tecnología Oracle para entornos de alta disponibilidad.- Disposición a aprender. Abierto/a a nuevas tecnologías.- Es imprescindible establecer residencia en Mallorca.,"Las funciones consisten en desarrollo de software en entornos de alta disponibilidad. En este caso buscamos también que seas experto en PL/SQl.Aunque utilizamos Oracle, no será la única tecnología que utilices. Te formamos en nuevas tecnologías. De hecho, la idea es que migres a otras tecnologías. Los detalles, en la entrevista de trabajo.",Islas Baleares,Teletrabajo parcial,"['Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Entre 30.000 y 35.000€ Brutos/anuales,0.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/programador-oracle/islas-baleares/3017256/,infoempleo
Ingeniero/a Informático/a Electrónico/a Vila Real (Castellón),Areajob Spain ETT,Hace 30 horas (Actualizada),"-Conocimientos en: Microprocesadores: ESP32, Microchip, Nordic, Ublox, etc.-Desarrollo de firmware y software para aplicaciones embebidas.-Diseño de PCB's-Se valorarán conocimientos en IOT, GIS, GPS, RTLS, MQTT, otros,...-Experiencia en desarrollo y gestión de equipos.-Programador back o full stack-Experiencia/conocimientos de:-Arquitectura de sistemas-NodeJS y ReactJS-AWS-Inglés",-Desarrollo de Firmware y Software.-Diseño de PCBs-Programación Back o full Stack.,Vila Real (Castellón),Teletrabajo parcial,"['Programador IoT', 'Ingeniero de Software C++', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Entre 23.000 y 45.000€ Brutos/anuales,1.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-informaticoa-electronicoa/vila-real/3016925/,infoempleo
Project Manager | 60% Remote | English C1 Barcelona (Barcelona),Page Personnel,Hace 30 horas (Actualizada),"Strong communication skills.  Ability to present complex technical concepts to a non-technical audience.  Must be proactive, innovative, and creative in meeting user needs.  Customer service-oriented and empathetic to user demands.  Ability to work independently with minimal supervision.  Energy and enthusiasm for learning, along with a clear desire to continue to develop and grow in knowledge and experience.  Team player.  Organizational and leadership skills.  Able to work on multiple projects simultaneously.","As a team member of the PMO, will be responsible ofmanaging projects to implement or enhance systems and processes for mulOple areas of the company. Also he will have to ensure project deliverables are within the de?ned quality.  Project Planning: Develop a detailed project plan that includes defining objectives, scope, timelines, required resources, and budget.  Resource Management: Assign tasks and responsibilities to team members, ensuring they have the necessary resources to carry out their functions.  Progress Monitoring: Oversee project progress to ensure deadlines are met and established milestones are achieved.  Risk Management: Identify and assess potential project risks, develop mitigation strategies, and be prepared to address unforeseen issues.  Communication: Keep all stakeholders informed about project progress, potential issues, and implemented solutions.  Team Coordination: Facilitate collaboration among team members and ensure effective communication.  Problem Solving: Address problems and challenges that arise during the project, seeking effective solutions and minimizing negative impacts.",Barcelona,Teletrabajo parcial,"['Jefe de Proyecto', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/project-manager-60-remote-english-c1/barcelona/3016905/,infoempleo
Responsable de Sistemas Microsoft Hernani (Guipúzcoa),ORONA S.COOP,Hace 30 horas (Actualizada),"SERÁ PRIORITARIO:    Formación técnica alineada con experiencia.    Experiencia previa de al menos 3-5 años en puestos similares.    Experiencia en gestión de equipos, análisis e interlocución con cliente.    Conocimientos técnicos sólidos del entorno Windows.    Conocimientos entorno Office 365.    Conocimientos sobre entornos de escritorio remoto (CITRIX y/o VMWARE).SERÁ VALORABLE:Conocimientos de Cloud AWS (Amazon Web Services).OTRAS HABILIDADES:    Inglés técnico conversacional. Valorables otros idiomas: Alemán, Francés,...    Definición y aplicación de metodologías.    Habilidades de comunicación y de gestión del cambio.    Dinamismo, proactividad y autonomía.    Capacidad de liderazgo de proyectos.    Trabajo en equipo y entornos colaborativos.    Actitud de aprendizaje e interés por mantenerse actualizado en tecnología.","Deseamos incorporar en Hernani un/a Responsable de Sistemas Microsoft  con capacidad de desarrollo.Tus funciones serán:    Gestionar los proyectos y Servicios de su ámbito de responsabilidad.    Asegurar el correcto funcionamiento de los entornos Windows, CITRIX y VMWare.    Responsable de activos sujetos a migración tecnológica.    Gestionar la infraestructura del entorno Windows, CITRIX y VMWare.    Participación en procesos de anexión de empresas (Nacionales e Internacionales).    La Interlocución y cooperación con otros agentes de la organización para lograr alineamiento con las directrices de infraestructuras y del negocio    Colaborar en la mejora e innovación del ámbito.",Hernani (Guipúzcoa),,"['Jefe de Sistemas', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,3.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/responsable-de-sistemas-microsoft/hernani/3016900/,infoempleo
Desarrollador Ruby on Rails - 100% REMOTO España,Page Personnel,Hace 30 horas (Actualizada),Candidato con al menos 2 años de experiencia en Ruby on Rails.,- Desarrollo de nuevos evolutivos.- Desarrollo y migración de productos IT.- Mantenimiento de los desarrollos ya existentes.,España,Teletrabajo 100%,"['Analista-Programador', 'Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-ruby-on-rails-100-remoto/espanna/3016866/,infoempleo
Técnico/a informático 89c79c23 San Javier (Murcia),Adecco,Hace 30 horas (Actualizada),"-Mínimo 5 años de experiencia en microinformática y administración de servidores.-Disponer de conocimientos sólidos en sistemas operativos, especialmente Microsoft Windows Server.-Acostumbrado a la gestión y análisis de grandes volúmenes de datos.-Actitud proactiva y acostumbrado/a a la toma de decisiones.","Desde Adecco, buscamos un/a técnico/a informático para unirse a uno de nuestros clientes, una empresa del sector agrícola ubicada en la provincia de Murcia. Serás responsable de brindar soporte técnico y resolver problemas relacionados con el software y hardware de los clientes internos de la compañía¿Cuáles serán tus funciones?-Mantenimiento de sistemas operativos.-Windows Server.-Soporte técnico.-Gestión y análisis.Si cumples con los requisitos y buscas un salto profesional a una empresa estable y donde poder asentar tu carrera profesional, ¡no lo dudes e inscríbete!En Adecco creemos en la igualdad de oportunidades y apostamos por el Talento Sin Etiquetas",San Javier (Murcia),,"['Administrador de Sistemas', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",,Al menos 5 años de experiencia,,24.000€ Brutos/anuales,2.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informatico-89c79c23/san-javier/3016843/,infoempleo
Administrador/Desarrollador Moodle Madrid,Page Personnel,Hace 27 horas (Actualizada),Candidato con alto nivel de inglés y al menos 2 años de experiencia en puesto similar.,- Reuniones con diferentes stackeholders a nivel internacional para analizar mejoras de la plataforma.- Comunicación con equipo de desarrollo IT para realizar mejoras y evolutivos.- Implementación de evolutivos de la plataforma en diferentes países.- Mantenimiento y configuración de la plataforma.,Madrid,Teletrabajo parcial,"['Administrador de Bases de Datos', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/administradordesarrollador-moodle/madrid/3016805/,infoempleo
