titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,ubicacion,url
Administrador de Sistemas Windows,HAYS,09/02/2024,"Windows, VMWare","Tu nueva empresa Empresa líder especializada en electrónica comercializando en más de 50 países.Ubicados en la zona de Mataró, buscan un profesional para el departamento de soporte.Tu nuevo puesto Instalar, configurar y mantener servidores Windows, entornos VMWare e infraestructura de red. Garantizar la seguridad, confiabilidad y rendimiento del sistema y la red. Solucionar y resolver problemas relacionados con hardware, software y sistemas de red. Implementar y gestionar soluciones de virtualización y contribuir a la recuperación ante desastres y la planificación de la continuidad del negocio. Colaborar con equipos multifuncionales para respaldar las necesidades de TI y contribuir a la estrategia tecnológica y las sesiones de planificación. Qué necesitarás para encajar con el puesto Experiencia previa con entornos de servidores Windows, VMWare y redes. Gran conocimiento de la infraestructura de IT, monitoreo de sistemas, seguridad y resolución de problemas. Familiaridad con la configuración de red, tecnologías de virtualización y servicios en la nube. Excelentes habilidades para la resolución de problemas, con capacidad para diagnosticar y resolver problemas complejos de IT. Fuertes habilidades de comunicación y colaboración, capaz de trabajar eficazmente en un entorno de equipo. Qué obtendrás a cambio Horario de 6:00/7:00 a 14:30/ 15:30 de lunes a jueves, viernes de 7:00 - 14:00 Bonificación para la cantina (4´5 el menú) Contrato indefinido directo con la empresa Vacante de largo plazo Entorno joven y con actividades de grupo Entorno profesional para ampliar conocimientos técnicos Jornada intensiva en verano",,Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/administrador-sistemas-windows-barcelona/windows-vmware/rf-caaf129d22594347f449
Administrador de Sistemas Windows,HAYS,09/02/2024,"Windows, VMWare","Tu nueva empresa Empresa líder especializada en electrónica comercializando en más de 50 países.Ubicados en la zona de Mataró, buscan un profesional para el departamento de soporte.Tu nuevo puesto Instalar, configurar y mantener servidores Windows, entornos VMWare e infraestructura de red. Garantizar la seguridad, confiabilidad y rendimiento del sistema y la red. Solucionar y resolver problemas relacionados con hardware, software y sistemas de red. Implementar y gestionar soluciones de virtualización y contribuir a la recuperación ante desastres y la planificación de la continuidad del negocio. Colaborar con equipos multifuncionales para respaldar las necesidades de TI y contribuir a la estrategia tecnológica y las sesiones de planificación. Qué necesitarás para encajar con el puesto Experiencia previa con entornos de servidores Windows, VMWare y redes. Gran conocimiento de la infraestructura de IT, monitoreo de sistemas, seguridad y resolución de problemas. Familiaridad con la configuración de red, tecnologías de virtualización y servicios en la nube. Excelentes habilidades para la resolución de problemas, con capacidad para diagnosticar y resolver problemas complejos de IT. Fuertes habilidades de comunicación y colaboración, capaz de trabajar eficazmente en un entorno de equipo. Qué obtendrás a cambio Horario de 6:00/7:00 a 14:30/ 15:30 de lunes a jueves, viernes de 7:00 - 14:00 Bonificación para la cantina (4´5 el menú) Contrato indefinido directo con la empresa Vacante de largo plazo Entorno joven y con actividades de grupo Entorno profesional para ampliar conocimientos técnicos Jornada intensiva en verano",,Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/administrador-sistemas-windows-barcelona/windows-vmware/rf-caaf129d22594347f449
Administrador de Sistemas z/OS,Serem,09/02/2024,"z/os, Mainframe","Desde Serem nos encontramos en la búsqueda de un ADMINISTRADOR DE SISTEMAS Z/OS con al menos 5 años de experiencia para importante proyecto en modalidad teletrabajo.Requisitos:Gestionar todas las cuestiones relativas a la instalación, configuración y personalización de sistemas z/OS.Soporte de 2º nivel de incidencias y cambios para el Administrador de Sistemas z/OS.Gestionar tickets (incidencias, problemas y cambios)Trabajar con sistemas mainframe, incluyendo sistemas operativos de la familia z/OS.Configurar y gestionar perfiles RACF/Mainframe (acceso a cuentas, asignación y asignación de perfiles)Analizar y resolver problemas escalados dentro de la organizaciónDuración del proyecto: 4 meses con posibilidad de extenderse.Inglés Alto (deseable).Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",,Administrador,Jornada completa,Más de 5 años,Indefinido,42.000 €-48.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-sistemas-z-os-remoto/z-os-mainframe/rf-2cd216af0260f3340e4e
Administrador de Sistemas z/OS,Serem,09/02/2024,"z/os, Mainframe","Desde Serem nos encontramos en la búsqueda de un ADMINISTRADOR DE SISTEMAS Z/OS con al menos 5 años de experiencia para importante proyecto en modalidad teletrabajo.Requisitos:Gestionar todas las cuestiones relativas a la instalación, configuración y personalización de sistemas z/OS.Soporte de 2º nivel de incidencias y cambios para el Administrador de Sistemas z/OS.Gestionar tickets (incidencias, problemas y cambios)Trabajar con sistemas mainframe, incluyendo sistemas operativos de la familia z/OS.Configurar y gestionar perfiles RACF/Mainframe (acceso a cuentas, asignación y asignación de perfiles)Analizar y resolver problemas escalados dentro de la organizaciónDuración del proyecto: 4 meses con posibilidad de extenderse.Inglés Alto (deseable).Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",,Administrador,Jornada completa,Más de 5 años,Indefinido,42.000 €-48.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-sistemas-z-os-remoto/z-os-mainframe/rf-2cd216af0260f3340e4e
Administrador de sistemas,CMV Consultores,09/02/2024,"Jboss, Apache, Tomcat, Weblogic","CMV Consultores es una empresa de Servicios de IT, dedicada fundamentalmente a la selección de profesionales con perfiles técnicos. Asimismo ofrece a sus clientes servicios de asesoría y soporte en la implantación de soluciones tecnológicas y desarrollo de aplicaciones.Desde CMV Consultores te brindamos las mejores oportunidades, tanto si estás empezando tu carrera como si tienes experiencia y estás buscando nuevos retos.Buscamos un administrador de sistemas con experiencia en servidores tales como Tomcat, Weblogic, JBoss, Apache, Websphere, Nginx e IIS.Algunas de las tareas que vas a realizar:-Instalación, actualización y soporte de una aplicación desplegada.-Puesta a punto y verificación del correcto funcionamiento ydimensionamiento de la infraestructura de servidores de aplicacionesy web.-Implementación y revisión de mecanismos de automatización para elmanejo de tareas operativas recurrentes.-Soporte a la integración con sistemas de seguridad y backup.-Gestión de certificados.-Resolución de incidencias y escalado a fabricante.-Mantenimiento y actualización de documentación operativa.Para esta posición necesitamos un alto nivel de PORTUGUÉS e INGLÉS.El trabajo será en modalidad híbrida, en las oficinas de Pozuelo.Si crees que esta es tu oportunidad, ¡no lo dudes! Da el primer paso, que nosotros daremos el siguiente por ti.",,Administrador,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-sistemas-hibrido/jboss-apache-tomcat-weblogic/rf-0bb91b4a2283f381f34e
Administrador de sistemas,HAYS,02/02/2024,"Windows, Linux, VMWare","Desde HAYS llevando una posición, Administrador de Sistemas, para una empresa de servicios IT con más de 50 años de historia en TARRAGONA, en un proyecto súper interesante!! ¿Qué es lo que busco exactamente? ⭕ Experiencia en sector sistemas, soporte técnico & IT, valorando mucho el venir de empresas, consultoras, similar (multiproyecto)⭕ Conocimientos de sistemas (Windows, Linux), ciberseguridad (Firewall, ISO27001) Redes cableadas e inalámbricas.⭕Conocimiento de suite Mincrosoft365 Business Premium, y administración de Cloud Azure⭕Conocimiento de herramientas de virtualización (VMWare & Hyper V) y de BackUp (Veeam), BBDD... Y te ofrecemos... ✔ Salario competitivo segun valía profesional ✔ Plan de carrera adaptado para crecer en la compañía, formación en tecnologías punteras ✔ Flexibilidad horaria para conciliación entre vida laboral, y personal ¿Qué te parece?",,Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Tarragona - España,https://www.tecnoempleo.com/administrador-sistemas-tarragona/windows-linux-vmware/rf-e69f17ead28ae3853549
Administrador de sistemas,LAYAKK SEGURIDAD INFORMATICA,09/02/2024,"Linux, Windows, VMWare, VirtualBox","En Layakk Seguridad Informática, buscamos la excelencia en todo lo que hacemos. Nuestro valor se basa principalmente en la calidad de nuestros equipos y en la capacidad para trabajar juntos hacia un objetivo común.En estos momentos tenemos abierto proceso para cubrir 1 puesto de administrador de sistemas en nuestra oficina en Paterna - Valencia.Principalmente el objetivo sería dar apoyo a nuestro departamento de Sistemas en nuestras oficinas de Paterna - ValenciaPara cumplir este objetivo, los siguientes conocimientos son requeridos:- Administración de sistemas Linux (avanzado)- Administración de sistemas Windows (básico)- Tecnologías de virtualización y contenedores (VMWare, VirtualBox, docker)- Shell scripting- PythonEl desempeño de tareas serían las siguientes:- Instalación y mantenimiento de sistemas- Gestión de usuarios- Compartimentalización de información- Gestión y configuración de redes- Securización (hardening) de sistemas linuxEXPERIENCIA:- No se requiere una experiencia determinadaOTROS- Honestidad, profesionalidad y total transparenciaSE OFRECE:- Honestidad, profesionalidad y total transparencia- Integración en equipo altamente especializado en seguridad informática- Gran flexibilidad de horario.- Salario según valía",,Analista,Jornada completa,3-5 años,Indefinido,,2024-02-10,tecnoempleo,Paterna -  Valencia - España,https://www.tecnoempleo.com/administrador-sistemas-valencia/linux-windows-vmware-virtualbox-python/rf-d38012a7e28e5310cb40
Administrador de sistemas y redes IT,Adsmurai,09/02/2024,"VLAN, Switches, Routers, Windows","Adsmurai es una empresa tecnológica especializada en la automatización y optimización de campañas de Paid Media y en servicios de consultoría, contenido y creatividad, orgánico y reputación online. Nuestro objetivo es llevar el crecimiento digital de nuestros clientes un paso más allá a través de un impacto positivo en las personas y una mejor publicidadEstamos buscando un/a Administrador de Sistemas y Redes para formar parte de nuestro equipo de Operations de Barcelona, encargado de:Gestión de Infraestructura de IT: Serás el responsable de mantener la infraestructura tecnológica de la empresa. Esto incluye la gestión de inventario de equipos informáticos, la instalación y configuración de hardware y software, y la administración de redesSoporte Técnico: Proporcionar soporte técnico a los usuarios en la organización. Esto implica resolver problemas técnicos, responder a las consultas de los usuarios y proporcionar asistencia en la resolución de problemas de hardware y softwareGestión de Accesos: Administrar los accesos de los usuarios a las oficinas y a los sistemas informáticos de la empresa. Esto incluye la creación de cuentas de usuario, la asignación de privilegios de acceso y la gestión de altas y bajas de personalGestión de Redes Informáticas: Mantener la infraestructura de red de la empresa, incluyendo VLANS, cableado estructurado, fibra, switches, y redes WiFiGestión de Licencias de Software: Administrar las licencias de software de la empresa, incluyendo la gestión de las licencias de cada alta y baja (Office, email, etc)Monitorización de Sistemas: Supervisar el rendimiento y la seguridad de los sistemas informáticos, y tomar medidas para mejorar su eficiencia y efectividadSeguridad Informática: Implementar y mantener las políticas de seguridad informática de la empresa. Esto incluye la protección contra amenazas de seguridad, la implementación de medidas preventivas y la respuesta a incidentes de seguridadPlan de Recuperación de Desastres: Mantener y actualizar el plan de recuperación de desastres de la empresa. Esto incluye la implementación de medidas preventivas y la preparación para la recuperación en caso de un desastreDesarrollo y Mantenimiento de Políticas y Procedimientos de IT: Desarrollar y mantener las políticas y procedimientos de IT, incluyendo la política de seguridad informática y los procedimientos de respaldo de datosGestión de Proyectos de IT: Liderar la implementación de nuevos proyectos de tecnología, asegurando que se entreguen a tiempo y dentro del presupuesto Requisitos:- Grado Universitario en Ingeniería Informática o un CFGS en Administración de Sistemas Informáticos en Red. Certificaciones relevantes en el campo de IT (como ITIL, CISM, CISSP, PMP) son un plus- Experiencia en la instalación de software y periféricos, instalación de sistemas operativos, configuración de red, y soporte y mantenimiento- Sólida comprensión de los sistemas de Microsoft (S.O, Office, etc)- Capacidad de trabajar de manera independiente, tomar decisiones informadas sobre el entorno de IT, y manejar múltiples tareas y proyectos simultáneamente- Experiencia en la gestión de proyectos de IT y en la implementación de nuevas tecnologías. Eres capaz de gestionar proyectos de IT de principio a fin- Experiencia en la realización de evaluaciones de riesgos de seguridad de la información y en la implementación de controles de seguridad- Tienes disponibilidad para viajar a las oficinas de Málaga y MadridOfrecemos:Contrato IndefinidoFlexibilidad horaria de entrada y salida.Modelo híbrido oficina-remoto (primeros meses, 100% presencial)Jornada intensiva los viernes, prefestivos laborables y en agosto.23 días de vacaciones (+1 día por año de antigüedad).Día libre por tu cumpleaños.Formación activa dentro de la empresa y crecimiento profesional a través del Plan de Carrera.Actividades de equipo y afterworks.AndjoyRetribución flexible (Restaurante, Transporte, Guardería, Formación)",,Redes,Jornada completa,3-5 años,Indefinido,24.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/administrador-sistemas-redes-it-hibrido/vlan-switches-routers-windows-offi/rf-07391d27a2e073f84840
Administrador de sistemas y redes IT,Adsmurai,09/02/2024,"VLAN, Switches, Routers, Windows","Adsmurai es una empresa tecnológica especializada en la automatización y optimización de campañas de Paid Media y en servicios de consultoría, contenido y creatividad, orgánico y reputación online. Nuestro objetivo es llevar el crecimiento digital de nuestros clientes un paso más allá a través de un impacto positivo en las personas y una mejor publicidadEstamos buscando un/a Administrador de Sistemas y Redes para formar parte de nuestro equipo de Operations de Barcelona, encargado de:Gestión de Infraestructura de IT: Serás el responsable de mantener la infraestructura tecnológica de la empresa. Esto incluye la gestión de inventario de equipos informáticos, la instalación y configuración de hardware y software, y la administración de redesSoporte Técnico: Proporcionar soporte técnico a los usuarios en la organización. Esto implica resolver problemas técnicos, responder a las consultas de los usuarios y proporcionar asistencia en la resolución de problemas de hardware y softwareGestión de Accesos: Administrar los accesos de los usuarios a las oficinas y a los sistemas informáticos de la empresa. Esto incluye la creación de cuentas de usuario, la asignación de privilegios de acceso y la gestión de altas y bajas de personalGestión de Redes Informáticas: Mantener la infraestructura de red de la empresa, incluyendo VLANS, cableado estructurado, fibra, switches, y redes WiFiGestión de Licencias de Software: Administrar las licencias de software de la empresa, incluyendo la gestión de las licencias de cada alta y baja (Office, email, etc)Monitorización de Sistemas: Supervisar el rendimiento y la seguridad de los sistemas informáticos, y tomar medidas para mejorar su eficiencia y efectividadSeguridad Informática: Implementar y mantener las políticas de seguridad informática de la empresa. Esto incluye la protección contra amenazas de seguridad, la implementación de medidas preventivas y la respuesta a incidentes de seguridadPlan de Recuperación de Desastres: Mantener y actualizar el plan de recuperación de desastres de la empresa. Esto incluye la implementación de medidas preventivas y la preparación para la recuperación en caso de un desastreDesarrollo y Mantenimiento de Políticas y Procedimientos de IT: Desarrollar y mantener las políticas y procedimientos de IT, incluyendo la política de seguridad informática y los procedimientos de respaldo de datosGestión de Proyectos de IT: Liderar la implementación de nuevos proyectos de tecnología, asegurando que se entreguen a tiempo y dentro del presupuesto Requisitos:- Grado Universitario en Ingeniería Informática o un CFGS en Administración de Sistemas Informáticos en Red. Certificaciones relevantes en el campo de IT (como ITIL, CISM, CISSP, PMP) son un plus- Experiencia en la instalación de software y periféricos, instalación de sistemas operativos, configuración de red, y soporte y mantenimiento- Sólida comprensión de los sistemas de Microsoft (S.O, Office, etc)- Capacidad de trabajar de manera independiente, tomar decisiones informadas sobre el entorno de IT, y manejar múltiples tareas y proyectos simultáneamente- Experiencia en la gestión de proyectos de IT y en la implementación de nuevas tecnologías. Eres capaz de gestionar proyectos de IT de principio a fin- Experiencia en la realización de evaluaciones de riesgos de seguridad de la información y en la implementación de controles de seguridad- Tienes disponibilidad para viajar a las oficinas de Málaga y MadridOfrecemos:Contrato IndefinidoFlexibilidad horaria de entrada y salida.Modelo híbrido oficina-remoto (primeros meses, 100% presencial)Jornada intensiva los viernes, prefestivos laborables y en agosto.23 días de vacaciones (+1 día por año de antigüedad).Día libre por tu cumpleaños.Formación activa dentro de la empresa y crecimiento profesional a través del Plan de Carrera.Actividades de equipo y afterworks.AndjoyRetribución flexible (Restaurante, Transporte, Guardería, Formación)",,Redes,Jornada completa,3-5 años,Indefinido,24.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/administrador-sistemas-redes-it-hibrido/vlan-switches-routers-windows-offi/rf-07391d27a2e073f84840
Administrador/Técnico de Middleware,Second Window,08/02/2024,"middleware, sql server, tomcat","¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas: FullStack Development como Administrador/a de Middleware!Si tienes experiencia en despliegues e implantaciones como Administrador o Técnico de Middleware danos la oportunidad de conocerte.¿Qué necesitamos?- Implantador con experiencia y acostumbrado a entornos no automatizados- Experiencia en Servidores de aplicaciones y contenedores de Servlet ->orientado para el uso y configuración en entornos productivos- WebLogicServer (Datasource, JMS, WLConsole, WLST, Node Manager, Work Manager, Diagnostic Modules, etc.)- Tomcat (configuración en multiaplicaciones, DS, Console Tomcat)- Jboss (complementario)- Experiencia/conocimientos de lenguaje de programación Java- Herramientas de JDK para administración (jdstat, VisualVM, jarsigner, jconsole, jstack, keytool, etc.)- Configuración de la pila de Java en entornos productivos. (Garbage Collage, Tunning Memory)Herramientas de monitorización de Java.- UNIX, LINUX (Shell scripting, AWK)- Uso avanzado de SQL for Oracle y SQLServer.¿Que podemos ofrecerte?• Contratación indefinida• Modo de trabajo teletrabajo 100% (salvo puntualmente, un día cada dos meses presencial en Madrid)• Viernes, Julio y Agosto jornada intensiva• Rango salarial: 30-33k brutos anuales (rango orientativo, salario en función de experiencia aportada)• Beneficios sociales: Seguro médico privado y seguro de vida• Retribución flexible: tickets restaurante, tickets guardería, tarjeta transporte• 23 días de vacaciones y el día de tu cumpleaños• Plan de formación personalizado.Si sientes que podrías encajar y te apetece la experiencia, ¡ponte en contacto con nosotros! Y te daremos toda la información que necesites.¡Abre una nueva ventana a tu futuro con Second Window! ¡Inscríbete!",,Administrador,Jornada completa,2 años,Indefinido,30.000 €-33.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/administrador-tecnico-middleware-remoto/middleware-sql-server-tomcat/rf-ab1f17ae62c5b3062d49
Administrador/a Jira - Confluence,arelance,09/02/2024,"jira, confluence","¿Eres un/a Administrador Jira/Confluence con experiencia en desarrollo de scripts? ¡Te estamos buscando!En Arelance, sabemos que las personas son el activo más importante dentro de una empresa. Por ello, invertimos tiempo y dedicación para encontrar los mejores profesionales de hoy y de mañana.Buscamos Administradores Jira/Confluence con al menos 4 años de experiencia laboral en el sector, para incorporarse a un proyecto de modalidad híbrida en Madrid. ¿QUÉ BUSCAMOS?     - Profesionales con al menos 4 años de experiencia en Jira (Software, Service Desk) y Confluence (flujos de trabajo, esquemas, campos personalizados, SLA, etc.)      - Desarrollo de scripts con plugin ScriptRunner.     - Desarrollo de plugins en Jira (Software y Service Desk) y Confluence.     - Poseer certificado Jira ACP-100.Además, es valorable para el puesto:      - Poseer nivel de inglés B1 o superior.     - Certificación en AC-JPA.¿QUÉ OFRECEMOS?     - Horario: comienzo de jornada a las 9:00 con media hora de flexibilidad en entrada y salida.      - Contrato Indefinido     - Posibilidad de crecimiento dentro de la empresa     - Formación para que sigamos creciendo juntos     - Posibilidad de trabajo híbrido (5 días en remoto y 5 días de oficina)     - Banda salarial depende de la experiencia aportada.Si te interesa una oportunidad como esta inscríbete y nos pondremos en contacto para conocerte lo antes posible 😊",,Administrador,Jornada completa,2 años,Indefinido,39.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-jira-confluence-hibrido/jira-confluence/rf-91c61e3042ad83368147
Administrador/a Jira - Confluence,arelance,09/02/2024,"jira, confluence","¿Eres un/a Administrador Jira/Confluence con experiencia en desarrollo de scripts? ¡Te estamos buscando!En Arelance, sabemos que las personas son el activo más importante dentro de una empresa. Por ello, invertimos tiempo y dedicación para encontrar los mejores profesionales de hoy y de mañana.Buscamos Administradores Jira/Confluence con al menos 4 años de experiencia laboral en el sector, para incorporarse a un proyecto de modalidad híbrida en Madrid. ¿QUÉ BUSCAMOS?     - Profesionales con al menos 4 años de experiencia en Jira (Software, Service Desk) y Confluence (flujos de trabajo, esquemas, campos personalizados, SLA, etc.)      - Desarrollo de scripts con plugin ScriptRunner.     - Desarrollo de plugins en Jira (Software y Service Desk) y Confluence.     - Poseer certificado Jira ACP-100.Además, es valorable para el puesto:      - Poseer nivel de inglés B1 o superior.     - Certificación en AC-JPA.¿QUÉ OFRECEMOS?     - Horario: comienzo de jornada a las 9:00 con media hora de flexibilidad en entrada y salida.      - Contrato Indefinido     - Posibilidad de crecimiento dentro de la empresa     - Formación para que sigamos creciendo juntos     - Posibilidad de trabajo híbrido (5 días en remoto y 5 días de oficina)     - Banda salarial depende de la experiencia aportada.Si te interesa una oportunidad como esta inscríbete y nos pondremos en contacto para conocerte lo antes posible 😊",,Administrador,Jornada completa,2 años,Indefinido,39.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-jira-confluence-hibrido/jira-confluence/rf-91c61e3042ad83368147
Administrador/a Jira - Confluence,arelance,09/02/2024,"jira, confluence","¿Eres un/a Administrador Jira/Confluence con experiencia en desarrollo de scripts? ¡Te estamos buscando!En Arelance, sabemos que las personas son el activo más importante dentro de una empresa. Por ello, invertimos tiempo y dedicación para encontrar los mejores profesionales de hoy y de mañana.Buscamos Administradores Jira/Confluence con al menos 4 años de experiencia laboral en el sector, para incorporarse a un proyecto de modalidad híbrida en Madrid. ¿QUÉ BUSCAMOS?     - Profesionales con al menos 4 años de experiencia en Jira (Software, Service Desk) y Confluence (flujos de trabajo, esquemas, campos personalizados, SLA, etc.)      - Desarrollo de scripts con plugin ScriptRunner.     - Desarrollo de plugins en Jira (Software y Service Desk) y Confluence.     - Poseer certificado Jira ACP-100.Además, es valorable para el puesto:      - Poseer nivel de inglés B1 o superior.     - Certificación en AC-JPA.¿QUÉ OFRECEMOS?     - Horario: comienzo de jornada a las 9:00 con media hora de flexibilidad en entrada y salida.      - Contrato Indefinido     - Posibilidad de crecimiento dentro de la empresa     - Formación para que sigamos creciendo juntos     - Posibilidad de trabajo híbrido (5 días en remoto y 5 días de oficina)     - Banda salarial depende de la experiencia aportada.Si te interesa una oportunidad como esta inscríbete y nos pondremos en contacto para conocerte lo antes posible 😊",,Administrador,Jornada completa,2 años,Indefinido,39.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-jira-confluence-hibrido/jira-confluence/rf-91c61e3042ad83368147
Administrador/a Junior JBoss,PSS,09/02/2024,"jboss, Tomcat, Weblogic","¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría conocerte.Desde PSS estamos seleccionando un perfil de administración de JBoss para incorporarse a un proyecto internacional en Madrid para uno de nuestros más potenciales clientes.Para ello, ¿Qué necesitamos?- Aprovisionamiento, configuración y gestión diaria de servidores de aplicaciones y web (Tomcat, Weblogic, JBoss, Apache, Websphere, Nginx, IIS), administrando y soportando una infraestructura estable, con eficiencia y rendimiento adecuado, realizando procedimientos para asegurar que los servicios cumplen con los objetivos o requisitos SLA.- Instalación, actualización y soporte de una aplicación desplegada.- Puesta a punto y verificación del correcto funcionamiento y dimensionamiento de la infraestructura de servidores de aplicaciones y web.- Implementación y revisión de mecanismos de automatización para el manejo de tareas operativas recurrentes.- Soporte a la integración con sistemas de seguridad y backup.- Gestión de certificados.- Resolución de incidencias y escalado a fabricante.- Mantenimiento y actualización de documentación operativa.- Conocimiento de entornos Windows y Linux.- Dominio completo de portugués y/o inglés.- Disponibilidad para trabajar de guarida, en horas no laborables, incluidos los fines de semana.Y llegados a este punto... ¿qué te ofrecemos?- Contrato indefinido.- Horario de oficina flexible.- Modalidad de trabajo híbrido (2-3 días a la semana en Pozuelo).- Salario en función de la experiencia aportada.- Plan de carrera y formación continua- Retribución flexible: te brindamos diversos beneficios sociales, tales como seguro médico privado, ticket restaurante, ticket guardería y/o ticket transporte, para que disfrutes de un completo bienestar.- Campaña de referenciados: Si tienes algún amigo del sector que crees que encaja en nuestras vacantes, tráelo a trabajar contigo, ¡tendrás un premio!PSS comprometida con la Igualdad.",,Administrador,Jornada completa,2 años,Indefinido,27.000 €-27.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/administrador-junior-jboss-hibrido/jboss-tomcat-weblogic/rf-c9861b4542f1b395ef4e
